trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
140,False,"{'a': 0.1999999999999997, 'e': 0.06203850737735829}",25,14,23.526323232908997,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.1999999999999997, 'e': 0.06081006262521795}",20,10,18.206211589823326,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.1999999999999997, 'e': 0.05960594270893937}",30,22,6.585006329958532,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.1999999999999997, 'e': 0.05842566596450083}",35,24,18.114978372617056,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.1999999999999997, 'e': 0.05726876026546736}",25,16,19.99403888756165,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.1999999999999997, 'e': 0.056134762834133725}",25,11,23.989969011471068,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.1999999999999997, 'e': 0.05502322005640723}",20,9,6.257753763322978,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.1999999999999997, 'e': 0.05393368730035602}",25,13,19.5814738527695,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.1999999999999997, 'e': 0.05286572873835037}",30,19,20.345756046145574,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.1999999999999997, 'e': 0.05181891717272583}",20,11,21.34015411324105,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.1999999999999997, 'e': 0.0507928338648985}",30,1,-37.30278006460823,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 2}",1
151,False,"{'a': 0.1999999999999997, 'e': 0.049787068367863944}",30,13,23.33973555757602,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.1999999999999997, 'e': 0.04880121836201296}",25,0,26.468177027894622,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
153,False,"{'a': 0.1999999999999997, 'e': 0.04783488949419837}",20,13,13.522671485355026,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.1999999999999997, 'e': 0.046887695219988486}",25,15,16.933246300945086,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.1999999999999997, 'e': 0.045959256649044204}",20,12,14.226593760336073,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.1999999999999997, 'e': 0.0450492023935578}",25,18,13.927472563350387,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.1999999999999997, 'e': 0.04415716841969286}",25,10,24.18819866050944,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.1999999999999997, 'e': 0.043282797901965896}",25,13,11.246782478884189,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.1999999999999997, 'e': 0.042425741080511385}",20,14,10.562191303256457,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.1999999999999997, 'e': 0.04158565512117316}",20,0,32.9973529040305,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
161,False,"{'a': 0.1999999999999997, 'e': 0.04076220397836621}",20,12,2.4765743850406023,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.1999999999999997, 'e': 0.039955058260653896}",35,17,29.910912866445443,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.1999999999999997, 'e': 0.039163895098987066}",25,14,11.415056693585141,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.1999999999999997, 'e': 0.038388398017552054}",20,6,27.100541530577633,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.1999999999999997, 'e': 0.0376282568071762}",20,6,25.068234967088443,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.1999999999999997, 'e': 0.036883167401239994}",25,9,27.014094334597196,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.1999999999999997, 'e': 0.03615283175404641}",25,15,15.337166779130893,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
